,Unnamed: 0,title,startYear,tconst,titleType,runtimeMinutes,genres,averageRating,numVotes,ordering,region,language,primaryName,birthYear,deathYear,primaryProfession
0,0,Cabiria,1914,tt0003740,movie,148.0,"Adventure,Drama,History",7.1,3224.0,17.0,FR,\N,Giovanni Pastrone,1883,1959,"director,writer,producer"
1,1,Intolérance,1916,tt0006864,movie,163.0,"Drama,History",7.7,14377.0,27.0,FR,\N,D.W. Griffith,1875,1948,"director,writer,producer"
2,4,Le lys brisé,1919,tt0009968,movie,90.0,"Drama,Romance",7.3,9532.0,15.0,FR,\N,D.W. Griffith,1875,1948,"director,writer,producer"
3,10,À travers l'orage,1920,tt0011841,movie,145.0,"Drama,Romance",7.4,5098.0,11.0,FR,\N,D.W. Griffith,1875,1948,"director,writer,producer"
4,15,Les deux orphelines,1921,tt0012532,movie,150.0,"Drama,History,Romance",7.3,4797.0,6.0,FR,\N,D.W. Griffith,1875,1948,"director,writer,producer"
5,2,Les proscrits,1918,tt0008879,movie,136.0,Drama,7.2,1577.0,12.0,FR,\N,Victor Sjöström,1879,1960,"director,actor,writer"
6,13,La charrette fantôme,1921,tt0012364,movie,107.0,"Drama,Fantasy,Horror",8.1,10920.0,5.0,FR,\N,Victor Sjöström,1879,1960,"director,actor,writer"
7,27,Larmes de clown,1924,tt0014972,movie,95.0,"Drama,Romance,Thriller",7.8,3341.0,3.0,FR,\N,Victor Sjöström,1879,1960,"director,actor,writer"
8,53,La lettre écarlate,1926,tt0017350,movie,115.0,Drama,7.6,1567.0,7.0,FR,\N,Victor Sjöström,1879,1960,"director,actor,writer"
9,90,Le vent,1928,tt0019585,movie,95.0,"Drama,Romance,Thriller",8.0,6098.0,16.0,FR,\N,Victor Sjöström,1879,1960,"director,actor,writer"
10,3,Miss Milliard,1919,tt0009893,movie,60.0,Comedy,7.2,1699.0,10.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
11,6,La poupée,1919,tt0010600,movie,66.0,"Comedy,Fantasy",7.4,1753.0,3.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
12,116,Le lieutenant souriant,1931,tt0022074,movie,93.0,"Comedy,Musical,Romance",7.2,3335.0,22.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
13,148,Haute pègre,1932,tt0023622,movie,83.0,"Comedy,Crime,Romance",8.0,13269.0,9.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
14,154,Sérénade à trois,1933,tt0023940,movie,91.0,"Comedy,Romance",7.5,5927.0,17.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
15,236,Ange,1937,tt0028575,movie,91.0,"Comedy,Drama,Romance",7.3,2347.0,6.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
16,274,La huitième femme de Barbe-bleue,1938,tt0029929,movie,85.0,"Comedy,Romance",7.3,3409.0,12.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
17,317,Ninotchka,1939,tt0031725,movie,110.0,"Comedy,Romance",7.9,19224.0,7.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
18,360,Rendez-vous,1940,tt0033045,movie,99.0,"Comedy,Drama,Romance",8.1,28805.0,9.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
19,432,Jeux dangereux,1942,tt0035446,movie,99.0,"Comedy,War",8.2,30840.0,2.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
20,443,Le ciel peut attendre,1943,tt0035979,movie,112.0,"Comedy,Drama,Fantasy",7.5,9725.0,20.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
21,532,La folle ingénue,1946,tt0038419,movie,100.0,"Comedy,Romance,War",7.5,3032.0,16.0,FR,\N,Ernst Lubitsch,1892,1947,"director,actor,writer"
22,5,Le cabinet du docteur Caligari,1920,tt0010323,movie,76.0,"Fantasy,Horror,Mystery",8.1,58070.0,21.0,FR,\N,Robert Wiene,1873,1938,"writer,director,producer"
23,8,Le Signe de Zorro,1920,tt0011439,movie,79.0,"Adventure,Romance,Western",7.1,2247.0,7.0,FR,\N,Fred Niblo,1874,1948,"director,actor,producer"
24,9,Satan,1920,tt0011565,movie,90.0,"Crime,Drama,Horror",7.4,2082.0,4.0,FR,\N,Wallace Worsley,1878,1944,"director,actor,miscellaneous"
25,11,Les quatre cavaliers de l'apocalypse,1921,tt0012190,movie,150.0,"Drama,Romance,War",7.2,3104.0,21.0,FR,\N,Rex Ingram,1892,1950,"director,actor,writer"
26,12,Le Kid,1921,tt0012349,movie,68.0,"Comedy,Drama,Family",8.3,115127.0,10.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
27,21,Le pélerin,1923,tt0014358,movie,47.0,Comedy,7.4,4569.0,23.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
28,43,La ruée vers l'or,1925,tt0015864,movie,95.0,"Adventure,Comedy,Drama",8.2,102359.0,5.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
29,72,Le cirque,1928,tt0018773,movie,72.0,"Comedy,Romance",8.1,30663.0,5.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
30,111,Les lumières de la ville,1931,tt0021749,movie,87.0,"Comedy,Drama,Romance",8.5,169758.0,26.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
31,221,Les temps modernes,1936,tt0027977,movie,87.0,"Comedy,Drama,Family",8.5,220734.0,32.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
32,344,Le Dictateur,1940,tt0032553,movie,125.0,"Comedy,Drama,War",8.4,205315.0,17.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
33,585,Monsieur Verdoux,1947,tt0039631,movie,124.0,"Comedy,Crime,Drama",7.9,16089.0,14.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
34,799,Les feux de la rampe,1952,tt0044837,movie,137.0,"Drama,Music,Romance",8.1,18484.0,9.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
35,1006,Un roi à New York,1957,tt0050598,movie,110.0,"Comedy,Drama",7.1,7465.0,18.0,FR,\N,Charles Chaplin,1889,1977,"writer,soundtrack,actor"
36,14,Les trois lumières,1921,tt0012494,movie,97.0,"Drama,Fantasy,Thriller",7.7,5417.0,3.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
37,16,Mabuse le démon du crime,1922,tt0013086,movie,242.0,"Crime,Mystery,Thriller",7.9,7632.0,15.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
38,32,"Les Nibelungen, la vengeance de Kriemhild",1924,tt0015174,movie,129.0,"Adventure,Drama,Fantasy",7.9,4024.0,1.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
39,33,Les Nibelungen: la mort de Siegfried,1924,tt0015175,movie,143.0,"Adventure,Drama,Fantasy",8.1,5295.0,7.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
40,85,Les espions,1928,tt0019415,movie,150.0,"Romance,Thriller",7.6,3176.0,21.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
41,92,La femme sur la lune,1929,tt0019901,movie,156.0,"Adventure,Comedy,Drama",7.3,3077.0,20.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
42,118,M le maudit,1931,tt0022100,movie,117.0,"Crime,Mystery,Thriller",8.3,145116.0,32.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
43,146,Le testament du docteur Mabuse,1933,tt0023563,movie,122.0,"Crime,Horror,Mystery",8.0,11594.0,17.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
44,216,Fureur,1936,tt0027652,movie,92.0,"Crime,Drama,Film-Noir",7.9,11342.0,17.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
45,268,J'ai le droit de vivre,1937,tt0029808,movie,86.0,"Crime,Drama,Film-Noir",7.3,5999.0,24.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
46,386,Chasse à l'homme,1941,tt0033873,movie,105.0,"Drama,Thriller,War",7.3,4820.0,16.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
47,442,Les bourreaux meurent aussi,1943,tt0035966,movie,134.0,"Drama,Film-Noir,Thriller",7.5,4762.0,4.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
48,476,Le ministère de la peur,1944,tt0037075,movie,86.0,"Crime,Drama,Film-Noir",7.2,7048.0,22.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
49,493,La Femme au portrait,1944,tt0037469,movie,107.0,"Crime,Drama,Film-Noir",7.7,14393.0,32.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
50,521,La rue rouge,1945,tt0038057,movie,102.0,"Drama,Film-Noir,Thriller",7.8,14858.0,20.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
51,706,Au fil de l'eau,1950,tt0042579,movie,83.0,"Crime,Drama,Film-Noir",7.1,3072.0,24.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
52,789,Le démon s'éveille la nuit,1952,tt0044502,movie,105.0,"Drama,Film-Noir,Romance",7.1,5724.0,19.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
53,826,Règlement de comptes,1953,tt0045555,movie,89.0,"Crime,Film-Noir,Thriller",8.0,23974.0,47.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
54,874,Désirs humains,1954,tt0047101,movie,91.0,"Drama,Film-Noir,Romance",7.1,4536.0,29.0,FR,\N,Fritz Lang,1890,1976,"director,writer,producer"
55,17,La sorcellerie à travers les âges,1922,tt0013257,movie,91.0,"Documentary,Fantasy,History",7.7,12648.0,15.0,FR,\N,Benjamin Christensen,1879,1959,"director,writer,actor"
56,18,Nanouk l'Esquimau,1922,tt0013427,movie,78.0,Documentary,7.6,11103.0,12.0,FR,\N,Robert J. Flaherty,1884,1951,"director,writer,producer"
57,180,"Aran, l'île des tempêtes",1934,tt0025456,movie,76.0,Documentary,7.3,1986.0,6.0,FR,\N,Robert J. Flaherty,1884,1951,"director,writer,producer"
58,19,Nosferatu le vampire,1922,tt0013442,movie,94.0,"Fantasy,Horror",7.9,89567.0,3.0,FR,\N,F.W. Murnau,1888,1931,"director,writer,producer"
59,29,Le dernier rire,1924,tt0015064,movie,77.0,Drama,8.1,12861.0,18.0,FR,\N,F.W. Murnau,1888,1931,"director,writer,producer"
60,48,Faust,1926,tt0016847,movie,107.0,"Drama,Fantasy,Horror",8.1,14069.0,9.0,FR,\N,F.W. Murnau,1888,1931,"director,writer,producer"
61,54,Tartuffe,1925,tt0017448,movie,74.0,Drama,7.1,2224.0,24.0,FR,\N,F.W. Murnau,1888,1931,"director,writer,producer"
62,66,L'aurore,1927,tt0018455,movie,94.0,"Drama,Romance",8.1,47218.0,29.0,FR,\N,F.W. Murnau,1888,1931,"director,writer,producer"
63,101,L'intruse,1930,tt0020768,movie,77.0,"Drama,Romance",7.8,2944.0,18.0,FR,\N,F.W. Murnau,1888,1931,"director,writer,producer"
64,22,La tragédie de Sisif,1923,tt0014417,movie,417.0,Drama,7.5,1975.0,17.0,FR,\N,Abel Gance,1889,1981,"writer,director,editor"
65,63,Napoléon,1927,tt0018192,movie,330.0,"Biography,Drama,History",8.1,7099.0,20.0,FR,\N,Abel Gance,1889,1981,"writer,director,editor"
66,28,Le cheval de fer,1924,tt0015016,movie,150.0,"History,Romance,Western",7.2,1976.0,9.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
67,198,Le mouchard,1935,tt0026529,movie,91.0,"Crime,Drama",7.4,5778.0,21.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
68,207,Toute la ville en parle,1935,tt0027214,movie,93.0,"Comedy,Crime,Drama",7.3,2452.0,22.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
69,227,Je n'ai pas tué Lincoln,1936,tt0028141,movie,96.0,"Biography,Drama,History",7.3,2007.0,7.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
70,248,Hurricane,1937,tt0029030,movie,110.0,"Action,Drama,Romance",7.2,2345.0,1.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
71,267,La mascotte du régiment,1937,tt0029751,movie,100.0,"Adventure,Family",7.1,1507.0,18.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
72,304,Sur la piste des Mohawks,1939,tt0031252,movie,104.0,"Drama,History,Romance",7.1,5697.0,26.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
73,324,La Chevauchée fantastique,1939,tt0031971,movie,96.0,"Adventure,Drama,Western",7.8,44289.0,12.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
74,329,Vers sa destinée,1939,tt0032155,movie,100.0,"Biography,Drama,History",7.6,7537.0,2.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
75,343,Les raisins de la colère,1940,tt0032551,movie,129.0,"Drama,History",8.0,86100.0,12.0,FR,\N,John Ford,1894,1973,"director,producer,actor"
